       COD        POZ_TS
         3             -1
         1             -1
         2             -1
         4              1
         2             -1
         1             -1
         1             -1
         4              2
         3             -1
         1             -1
         4              3
         3             -1
         3             -1
         3             -1
         1             -1
         4              4
         3             -1
         1             -1
         4              5
         3             -1
         3             -1
         3             -1
         1             -1
         4              4
         4              3
         3             -1
         1             -1
         4              6
         2             -1
         4              7
         3             -1
         1             -1
         2             -1
         4              8
         3             -1
         1             -1
         2             -1
         4              3
         3             -1
         4              5
         3             -1
         1             -1
         2             -1
         4              9
         3             -1
         1             -1
         2             -1
         4             10
         2             -1
         4              6
         2             -1
         4              3
         3             -1
         4              5
         3             -1
         1             -1
         2             -1
         1             -1
         3             -1
         1             -1
         2             -1
         4             11
         3             -1
         1             -1
         2             -1
         4              6
         2             -1
         4              3
         3             -1
         4              5
         2             -1
         4              3
         3             -1
         4              5
         3             -1
         1             -1
         2             -1
         1             -1
         3             -1
         1             -1
         4             12
         3             -1
         3             -1
